timestamp,headline,prediction
2024-11-21 14:34:00,"Fluxo cambial total na semana passada 11 a 1411 foi negativo em US 1,989 bi",1
2024-11-21 14:34:00,"Fluxo total em novembro, até dia 14, está negativo em US 1,421 bi",1
2024-11-21 14:35:00,"Itaú BBA mantém recomendação de compra para Direcional, com preçoalvo de R 36,00",1
2024-11-21 14:35:00,"Banco destaca que desempenho da empresa segue acima do esperado, sem sinais de desaceleração",1
2024-11-21 14:36:00,"Goolsbee: Juros devem se aproximar do nível neutro em 2025, bem abaixo da faixa atual",-1
2024-11-21 14:36:00,Inflação está retornando à meta de 2 e mercado de trabalho segue estável,-1
2024-11-21 14:40:00,"Fluxo cambial total na semana passada 11 a 1411 foi negativo em US 1,989 bi",1
2024-11-21 14:47:00,Goolsbee: Estamos nos movendo para cenário de emprego máximo e mercado de trabalho estável,-1
2024-11-21 14:55:00,"Taxa Ptax fecha em R 5,8173, alta de 0,74",1
2024-11-21 14:58:00,"Reino UnidoStarmer: Iremos apoiar a Ucrania com o que for preciso, e pelo tempo que for preciso",-1
2024-11-21 15:03:00,Matt Gaetz desiste de se tornar secretário de Justiça após críticas de opositores e republicanos,-1
2024-11-21 15:08:00,"IFI estima que governo precisa de R 13,6 bi até dezembro para alcançar piso da banda da meta fiscal deste ano",-1
2024-11-21 15:12:00,PF envia ao STF relatório final do inquérito da tentativa de golpe e indicia Bolsonaro,-1
2024-11-21 15:20:00,FMI confirma negociações com governo Milei para novo acordo,-1
2024-11-21 15:23:00,Veja lista dos indiciados pela Polícia Federal no inquérito sobre tentativa de golpe de Estado,-1
2024-11-21 15:33:00,"Ibovespa ignora alta das bolsas americanas; juros futuros recuam, na contramão dos Treasuries e do dolar",-1
2024-11-21 15:43:00,Quatro decisões adotadas entre transição e 1º ano do governo Lula custarão até R 3 tri em 10 anos,-1
2024-11-21 15:46:00,Cobre devolve ganhos recentes com dolar forte e preocupação sobre plano de Trump de elevar tarifas de importação,-1
2024-11-21 15:46:00,"Na Comex, o contrato para dezembro caiu 0,73, a US 4,1250 por librapeso",1
2024-11-21 15:46:00,"Na LME, o contrato para três meses tinha baixa de 0,41 há pouco, para US 9.044,50 por tonelada",1
2024-11-21 15:48:00,Ouro sobe pelo 4º dia seguido com tensões na Europa,1
